zona_key;operator_key;zona_x;zona_y;mcc;mnc;rsrp_avg;pocet_merani;najcastejsia_frekvencia;zona_stred_x;zona_stred_y;longitude;latitude;rsrp_kategoria;zone_wkt
-232400.0_-1222800.0;231.0_1.0;-232400.0;-1222800.0;231.0;1.0;-91.03608695652174;23;806000000;-232350.0;-1222750.0;21.66188779695316;48.883680759056766;RSRP_GOOD;POLYGON ((-232300 -1222800, -232300 -1222700, -232400 -1222700, -232400 -1222800, -232300 -1222800))
-232400.0_-1222800.0;231.0_3.0;-232400.0;-1222800.0;231.0;3.0;-103.94736842105263;19;1837500000;-232350.0;-1222750.0;21.66188779695316;48.883680759056766;RSRP_GOOD;POLYGON ((-232300 -1222800, -232300 -1222700, -232400 -1222700, -232400 -1222800, -232300 -1222800))
-232400.0_-1222800.0;231.0_6.0;-232400.0;-1222800.0;231.0;6.0;-97.7088;25;1855000000;-232350.0;-1222750.0;21.66188779695316;48.883680759056766;RSRP_GOOD;POLYGON ((-232300 -1222800, -232300 -1222700, -232400 -1222700, -232400 -1222800, -232300 -1222800))
-232400.0_-1222900.0;231.0_1.0;-232400.0;-1222900.0;231.0;1.0;-94.44046875;64;806000000;-232350.0;-1222850.0;21.661944185149057;48.88278225013944;RSRP_GOOD;POLYGON ((-232300 -1222900, -232300 -1222800, -232400 -1222800, -232400 -1222900, -232300 -1222900))
-232400.0_-1222900.0;231.0_3.0;-232400.0;-1222900.0;231.0;3.0;-103.97;46;1837500000;-232350.0;-1222850.0;21.661944185149057;48.88278225013944;RSRP_GOOD;POLYGON ((-232300 -1222900, -232300 -1222800, -232400 -1222800, -232400 -1222900, -232300 -1222900))
-232400.0_-1222900.0;231.0_6.0;-232400.0;-1222900.0;231.0;6.0;-98.45842105263158;57;1872500000;-232350.0;-1222850.0;21.661944185149057;48.88278225013944;RSRP_GOOD;POLYGON ((-232300 -1222900, -232300 -1222800, -232400 -1222800, -232400 -1222900, -232300 -1222900))
-232500.0_-1222800.0;200.0_10.0;-232500.0;-1222800.0;200.0;10.0;-125.926;5;3422500000;-232450.0;-1222750.0;21.660525401860063;48.883643562045336;RSRP_BAD;POLYGON ((-232400 -1222800, -232400 -1222700, -232500 -1222700, -232500 -1222800, -232400 -1222800))
-232500.0_-1222800.0;231.0_1.0;-232500.0;-1222800.0;231.0;1.0;-93.818;80;806000000;-232450.0;-1222750.0;21.660525401860063;48.883643562045336;RSRP_GOOD;POLYGON ((-232400 -1222800, -232400 -1222700, -232500 -1222700, -232500 -1222800, -232400 -1222800))
-232500.0_-1222800.0;231.0_3.0;-232500.0;-1222800.0;231.0;3.0;-102.23233766233767;77;1837500000;-232450.0;-1222750.0;21.660525401860063;48.883643562045336;RSRP_GOOD;POLYGON ((-232400 -1222800, -232400 -1222700, -232500 -1222700, -232500 -1222800, -232400 -1222800))
-232500.0_-1222800.0;231.0_6.0;-232500.0;-1222800.0;231.0;6.0;-99.0994776119403;134;1872500000;-232450.0;-1222750.0;21.660525401860063;48.883643562045336;RSRP_GOOD;POLYGON ((-232400 -1222800, -232400 -1222700, -232500 -1222700, -232500 -1222800, -232400 -1222800))
-232600.0_-1222700.0;200.0_10.0;-232600.0;-1222700.0;200.0;10.0;-125.5;1;3422500000;-232550.0;-1222650.0;21.659106570198773;48.88450485642017;RSRP_BAD;POLYGON ((-232500 -1222700, -232500 -1222600, -232600 -1222600, -232600 -1222700, -232500 -1222700))
-232600.0_-1222700.0;231.0_1.0;-232600.0;-1222700.0;231.0;1.0;-92.09738095238095;42;806000000;-232550.0;-1222650.0;21.659106570198773;48.88450485642017;RSRP_GOOD;POLYGON ((-232500 -1222700, -232500 -1222600, -232600 -1222600, -232600 -1222700, -232500 -1222700))
-232600.0_-1222700.0;231.0_3.0;-232600.0;-1222700.0;231.0;3.0;-105.38;23;3670000000;-232550.0;-1222650.0;21.659106570198773;48.88450485642017;RSRP_GOOD;POLYGON ((-232500 -1222700, -232500 -1222600, -232600 -1222600, -232600 -1222700, -232500 -1222700))
-232600.0_-1222700.0;231.0_6.0;-232600.0;-1222700.0;231.0;6.0;-95.7078;50;773000000;-232550.0;-1222650.0;21.659106570198773;48.88450485642017;RSRP_GOOD;POLYGON ((-232500 -1222700, -232500 -1222600, -232600 -1222600, -232600 -1222700, -232500 -1222700))
-232600.0_-1222800.0;200.0_10.0;-232600.0;-1222800.0;200.0;10.0;-125.42666666666666;3;3422500000;-232550.0;-1222750.0;21.6591630087467;48.883606349055135;RSRP_BAD;POLYGON ((-232500 -1222800, -232500 -1222700, -232600 -1222700, -232600 -1222800, -232500 -1222800))
-232600.0_-1222800.0;231.0_1.0;-232600.0;-1222800.0;231.0;1.0;-92.17357142857142;42;806000000;-232550.0;-1222750.0;21.6591630087467;48.883606349055135;RSRP_GOOD;POLYGON ((-232500 -1222800, -232500 -1222700, -232600 -1222700, -232600 -1222800, -232500 -1222800))
-232600.0_-1222800.0;231.0_3.0;-232600.0;-1222800.0;231.0;3.0;-100.63477272727273;44;1837500000;-232550.0;-1222750.0;21.6591630087467;48.883606349055135;RSRP_GOOD;POLYGON ((-232500 -1222800, -232500 -1222700, -232600 -1222700, -232600 -1222800, -232500 -1222800))
-232600.0_-1222800.0;231.0_6.0;-232600.0;-1222800.0;231.0;6.0;-97.96209677419354;62;1872500000;-232550.0;-1222750.0;21.6591630087467;48.883606349055135;RSRP_GOOD;POLYGON ((-232500 -1222800, -232500 -1222700, -232600 -1222700, -232600 -1222800, -232500 -1222800))
-232700.0_-1222600.0;200.0_10.0;-232700.0;-1222600.0;200.0;10.0;-119.3;1;3422500000;-232650.0;-1222550.0;21.65768769016355;48.885366133262956;RSRP_BAD;POLYGON ((-232600 -1222600, -232600 -1222500, -232700 -1222500, -232700 -1222600, -232600 -1222600))
-232700.0_-1222600.0;231.0_1.0;-232700.0;-1222600.0;231.0;1.0;-93.6875;28;2640000000;-232650.0;-1222550.0;21.65768769016355;48.885366133262956;RSRP_GOOD;POLYGON ((-232600 -1222600, -232600 -1222500, -232700 -1222500, -232700 -1222600, -232600 -1222600))
-232700.0_-1222600.0;231.0_3.0;-232700.0;-1222600.0;231.0;3.0;-105.78736842105263;19;1837500000;-232650.0;-1222550.0;21.65768769016355;48.885366133262956;RSRP_GOOD;POLYGON ((-232600 -1222600, -232600 -1222500, -232700 -1222500, -232700 -1222600, -232600 -1222600))
-232700.0_-1222600.0;231.0_6.0;-232700.0;-1222600.0;231.0;6.0;-98.0164705882353;34;763000000;-232650.0;-1222550.0;21.65768769016355;48.885366133262956;RSRP_GOOD;POLYGON ((-232600 -1222600, -232600 -1222500, -232700 -1222500, -232700 -1222600, -232600 -1222600))
-232700.0_-1222700.0;200.0_10.0;-232700.0;-1222700.0;200.0;10.0;-121.66000000000001;6;3422500000;-232650.0;-1222650.0;21.657744154879488;48.88446762681749;RSRP_BAD;POLYGON ((-232600 -1222700, -232600 -1222600, -232700 -1222600, -232700 -1222700, -232600 -1222700))
-232700.0_-1222700.0;231.0_1.0;-232700.0;-1222700.0;231.0;1.0;-93.68164179104478;67;806000000;-232650.0;-1222650.0;21.657744154879488;48.88446762681749;RSRP_GOOD;POLYGON ((-232600 -1222700, -232600 -1222600, -232700 -1222600, -232700 -1222700, -232600 -1222700))
-232700.0_-1222700.0;231.0_3.0;-232700.0;-1222700.0;231.0;3.0;-102.18347222222222;72;1837500000;-232650.0;-1222650.0;21.657744154879488;48.88446762681749;RSRP_GOOD;POLYGON ((-232600 -1222700, -232600 -1222600, -232700 -1222600, -232700 -1222700, -232600 -1222700))
-232700.0_-1222700.0;231.0_6.0;-232700.0;-1222700.0;231.0;6.0;-99.07454545454544;99;1872500000;-232650.0;-1222650.0;21.657744154879488;48.88446762681749;RSRP_GOOD;POLYGON ((-232600 -1222700, -232600 -1222600, -232700 -1222600, -232700 -1222700, -232600 -1222700))
-232800.0_-1222600.0;200.0_10.0;-232800.0;-1222600.0;200.0;10.0;-120.25833333333333;6;3422500000;-232750.0;-1222550.0;21.65632525263846;48.88532888704718;RSRP_BAD;POLYGON ((-232700 -1222600, -232700 -1222500, -232800 -1222500, -232800 -1222600, -232700 -1222600))
-232800.0_-1222600.0;231.0_1.0;-232800.0;-1222600.0;231.0;1.0;-96.67831460674158;89;806000000;-232750.0;-1222550.0;21.65632525263846;48.88532888704718;RSRP_GOOD;POLYGON ((-232700 -1222600, -232700 -1222500, -232800 -1222500, -232800 -1222600, -232700 -1222600))
-232800.0_-1222600.0;231.0_2.0;-232800.0;-1222600.0;231.0;2.0;-111.9;2;796000000;-232750.0;-1222550.0;21.65632525263846;48.88532888704718;RSRP_BAD;POLYGON ((-232700 -1222600, -232700 -1222500, -232800 -1222500, -232800 -1222600, -232700 -1222600))
-232800.0_-1222600.0;231.0_3.0;-232800.0;-1222600.0;231.0;3.0;-109.6145945945946;74;1837500000;-232750.0;-1222550.0;21.65632525263846;48.88532888704718;RSRP_GOOD;POLYGON ((-232700 -1222600, -232700 -1222500, -232800 -1222500, -232800 -1222600, -232700 -1222600))
