
Date;Time;UTC;Latitude;Longitude;Altitude;Speed;Heading;#Sat;EARFCN;Frequency;PCI;MCC;MNC;TAC;CI;eNodeB-ID;cellID;BW;SymPerSlot;Power;SINR;RSRP;RSRQ;4G-Drift;Sigma-4G-Drift;TimeOfArrival;TimeOfArrivalFN;LTE-M;5G NR;eNodeB Tx Ports;SIB2 eMBMS/DSS;MIB dl_Bandwidth(MHz);Riadky_v_zone;Frekvencie_v_zone
11.02.2025;08:45:31.521;1741675531;48.901355;21.635076;135.79;65.77;139.79;16;6300;806000000;49;231;1;8041.0;7792908.0;30441.0;12.0;10.0;7;-72.96;1.91;-91.59;-14.16;-43.35;468.02;1.1843413e-05;284343.0;yes;yes;2.0;;10.0;53012,53046,53134;806000000 # Meraní: 3
11.02.2025;08:45:36.210;1741675536;48.900840;21.635736;135.05;70.13;139.38;16;6300;806000000;49;231;1;8041.0;7792908.0;30441.0;12.0;10.0;7;-72.96;-1.59;-91.25;-14.16;-43.35;468.02;1.1843413e-05;284343.0;yes;yes;2.0;;10.0;53238,53251,53342;806000000 # Meraní: 3
11.02.2025;08:46:39.862;1741675599;48.890516;21.648899;149.62;85.97;142.0;16;6300;806000000;49;231;1;8041.0;7792908.0;30441.0;12.0;10.0;7;-66.12;-4.30;-84.27;-16.25;-58.52;363.37;7.586061e-06;290981.0;yes;yes;;;10.0;56663;806000000 # Meraní: 1
11.02.2025;08:46:48.475;1741675608;48.888921;21.650787;149.4;89.6;141.96;16;6300;806000000;49;231;1;8041.0;7792908.0;30441.0;12.0;10.0;7;-68.83;-5.31;-83.41;-13.52;-52.4;329.81;7.030523e-06;292039.0;yes;yes;;;10.0;57279,57289,57418;806000000 # Meraní: 3
11.02.2025;08:46:52.245;1741675612;48.888389;21.651415;149.19;86.94;142.34;16;6300;806000000;49;231;1;8041.0;7792908.0;30441.0;12.0;10.0;7;-68.83;-5.87;-86.83;-13.52;-52.4;329.81;7.030523e-06;292039.0;yes;yes;;;10.0;57580,57672;806000000 # Meraní: 2
11.02.2025;08:28:15.749;1741674495;49.027361;21.503299;187.05;52.92;56.35;16;6300;806000000;104;231;1;8041.0;7693579.0;30053.0;11.0;10.0;7;-65.12;5.70;-90.12;-15.94;-4.65;276.74;2.043582e-06;180420.0;yes;yes;2.0;;10.0;16712,16730,16748;806000000 # Meraní: 3
11.02.2025;08:28:19.043;1741674499;49.027714;21.504172;185.47;51.91;63.05;16;6300;806000000;104;231;1;8041.0;7693579.0;30053.0;11.0;10.0;7;-69.39;7.06;-93.27;-16.61;2.21;277.51;2.287396e-06;180866.0;yes;yes;2.0;;10.0;16789,16824,16830,16867;806000000 # Meraní: 4
11.02.2025;08:28:24.040;1741674504;49.027971;21.505120;184.29;51.52;69.15;16;6300;806000000;104;231;1;8041.0;7693579.0;30053.0;11.0;10.0;7;-73.41;9.78;-90.29;-14.53;16.51;276.25;2.192342e-06;181264.0;yes;yes;2.0;;10.0;16905,16922,16938,16980,17014,17021;806000000 # Meraní: 6
11.02.2025;08:28:29.850;1741674509;49.028207;21.506081;182.53;51.84;69.22;16;6300;806000000;104;231;1;8041.0;7693579.0;30053.0;11.0;10.0;7;-66.42;10.61;-89.25;-14.72;16.83;276.2;2.474256e-06;182047.0;yes;yes;2.0;;10.0;17061,17099,17118,17133;806000000 # Meraní: 4
11.02.2025;08:28:35.012;1741674514;49.028442;21.507042;180.36;53.14;69.94;16;6300;806000000;104;231;1;8041.0;7693579.0;30053.0;11.0;10.0;7;-71.16;10.01;-87.82;-13.31;24.99;276.01;2.725605e-06;182450.0;yes;yes;2.0;;10.0;17175,17208,17213,17250;806000000 # Meraní: 4
11.02.2025;08:28:40.080;1741674519;49.028677;21.508004;178.77;55.98;70.15;16;6300;806000000;104;231;1;8041.0;7693579.0;30053.0;11.0;10.0;7;-65.76;11.66;-82.24;-12.34;38.03;275.23;2.922455e-06;182857.0;yes;yes;2.0;;10.0;17284,17301,17317,17354;806000000 # Meraní: 4
11.02.2025;08:28:44.408;1741674524;49.028911;21.508966;177.59;57.67;69.47;16;6300;806000000;104;231;1;8041.0;7693579.0;30053.0;11.0;10.0;7;-62.14;12.20;-86.00;-12.11;29.28;274.58;3.080521e-06;183270.0;yes;yes;2.0;;10.0;17388,17393,17432,17469,17488;806000000 # Meraní: 5
11.02.2025;08:28:49.080;1741674529;49.029156;21.509921;176.97;56.38;67.02;16;6300;806000000;104;231;1;8041.0;7693579.0;30053.0;11.0;10.0;7;-70.93;11.16;-88.61;-13.06;41.94;273.86;3.211407e-06;184059.0;yes;yes;2.0;;10.0;17503,17539,17568,17572;806000000 # Meraní: 4
11.02.2025;08:28:53.997;1741674533;49.029443;21.510849;176.4;60.05;63.5;16;6300;806000000;104;231;1;8041.0;7693579.0;30053.0;11.0;10.0;7;-64.3;13.56;-83.26;-12.56;39.68;273.63;3.615095e-06;184462.0;yes;yes;2.0;;10.0;17607,17640,17656,17669;806000000 # Meraní: 4
11.02.2025;08:28:59.200;1741674539;49.029777;21.511740;175.65;63.36;58.38;16;6300;806000000;104;231;1;8041.0;7693579.0;30053.0;11.0;10.0;7;-62.07;12.98;-81.55;-13.88;36.36;273.5;3.847279e-06;184874.0;yes;yes;2.0;;10.0;17700,17728,17732;806000000 # Meraní: 3
11.02.2025;08:29:02.126;1741674542;49.030128;21.512616;175.67;62.86;58.49;16;6300;806000000;104;231;1;8041.0;7693579.0;30053.0;11.0;10.0;7;-60.62;13.32;-78.71;-11.83;39.05;273.15;4.066939e-06;185277.0;yes;yes;2.0;;10.0;17765,17795,17810,17823;806000000 # Meraní: 4
11.02.2025;08:29:07.014;1741674547;49.030481;21.513489;176.44;61.34;58.48;16;6300;806000000;104;231;1;8041.0;7693579.0;30053.0;11.0;10.0;7;-57.94;13.09;-77.46;-12.8;41.99;272.93;4.305171e-06;185666.0;yes;yes;2.0;;10.0;17857,17886,17890,17919;806000000 # Meraní: 4
11.02.2025;08:29:11.799;1741674551;49.030836;21.514362;177.18;61.52;58.32;16;6300;806000000;104;231;1;8041.0;7693579.0;30053.0;11.0;10.0;7;-58.06;13.70;-78.66;-11.7;44.64;273.03;4.478939e-06;186052.0;yes;yes;2.0;;10.0;17948,17962,17976;806000000 # Meraní: 3
11.02.2025;08:29:15.091;1741674555;49.031189;21.515235;177.79;60.95;58.95;16;6300;806000000;104;231;1;8041.0;7693579.0;30053.0;11.0;10.0;7;-60.52;12.65;-81.23;-12.04;46.8;273.21;4.640164e-06;186453.0;yes;yes;2.0;;10.0;18009,18032,18042,18077;806000000 # Meraní: 4
11.02.2025;08:29:20.515;1741674560;49.031505;21.516140;178.56;59.4;65.37;16;6300;806000000;104;231;1;8041.0;7693579.0;30053.0;11.0;10.0;7;-62.82;11.87;-85.36;-12.67;49.41;273.07;4.934145e-06;186874.0;yes;yes;2.0;;10.0;18110,18129,18146,18184;806000000 # Meraní: 4
11.02.2025;08:29:24.576;1741674564;49.031692;21.517120;179.49;60.16;81.24;16;6300;806000000;104;231;1;8041.0;7693579.0;30053.0;11.0;10.0;7;-64.6;9.66;-91.61;-14.96;50.43;272.86;5.121616e-06;187307.0;yes;yes;2.0;;10.0;18207,18227,18270;806000000 # Meraní: 3
11.02.2025;08:29:28.546;1741674568;49.031699;21.518144;180.16;63.68;93.2;16;6300;806000000;104;231;1;8041.0;7693579.0;30053.0;11.0;10.0;7;-73.87;3.89;-96.46;-13.92;54.14;272.49;5.061262e-06;187708.0;yes;yes;2.0;;10.0;18311,18328,18350;806000000 # Meraní: 3
11.02.2025;08:26:54.964;1741674414;49.030140;21.486036;205.58;87.91;88.16;16;6300;806000000;104;231;1;8041.0;7693579.0;30053.0;11.0;10.0;7;-79.32;1.67;-98.40;-15.39;-46.67;325.66;7.042022e-06;172419.0;yes;yes;2.0;;10.0;14350;806000000 # Meraní: 1
11.02.2025;08:32:43.352;1741674763;49.004895;21.544982;191.81;59.94;123.4;16;50;2115000000;112;231;1;21041.0;7693610.0;30053.0;42.0;10.0;7;-69.5;15.64;-88.15;-13.98;48.57;298.01;1.2668154e-05;207484.0;no;yes;;;10.0;25279,25347,25440,25467;2115000000 # Meraní: 4
11.02.2025;08:32:47.624;1741674767;49.004522;21.545836;191.16;61.49;122.94;16;50;2115000000;112;231;1;21041.0;7693610.0;30053.0;42.0;10.0;7;-67.44;16.36;-88.16;-12.09;50.47;292.44;1.288786e-05;207874.0;no;yes;;;10.0;25506,25580,25660,25672;2115000000 # Meraní: 4
11.02.2025;08:27:34.467;1741674454;49.029717;21.495568;199.08;76.46;140.78;16;6300;806000000;120;231;1;8041.0;7693581.0;30053.0;13.0;10.0;7;-56.86;10.36;-77.27;-12.92;-100.56;281.55;3.521482e-06;176301.0;yes;yes;;;10.0;15649,15669,15675;806000000 # Meraní: 3
11.02.2025;08:27:37.771;1741674457;49.029202;21.496231;197.88;73.98;139.03;16;6300;806000000;120;231;1;8041.0;7693581.0;30053.0;13.0;10.0;7;-58.54;10.50;-76.94;-13.16;-89.4;280.03;3.218079e-06;176709.0;yes;yes;;;10.0;15731,15773,15783,15824;806000000 # Meraní: 4
11.02.2025;08:27:42.645;1741674462;49.028737;21.496972;196.97;68.58;127.86;16;6300;806000000;120;231;1;8041.0;7693581.0;30053.0;13.0;10.0;7;-56.36;10.58;-77.71;-12.95;-81.8;280.21;2.959944e-06;177150.0;yes;yes;;;10.0;15865,15883,15905;806000000 # Meraní: 3
11.02.2025;08:27:45.697;1741674465;49.028331;21.497790;196.27;65.74;126.4;16;6300;806000000;120;231;1;8041.0;7693581.0;30053.0;13.0;10.0;7;-57.35;8.05;-78.59;-14.12;-74.66;278.82;2.722437e-06;177530.0;yes;yes;;;10.0;15953,15990,15995,16043;806000000 # Meraní: 4
11.02.2025;08:27:50.758;1741674470;49.027940;21.498626;195.25;60.73;122.67;16;6300;806000000;120;231;1;8041.0;7693581.0;30053.0;13.0;10.0;7;-58.89;5.91;-84.61;-12.75;-68.7;279.25;2.484253e-06;177936.0;yes;yes;;;10.0;16084,16104,16109,16168;806000000 # Meraní: 4
11.02.2025;08:27:55.360;1741674475;49.027605;21.499515;195.75;57.92;117.35;16;6300;806000000;120;231;1;8041.0;7693581.0;30053.0;13.0;10.0;7;-66.04;7.58;-83.05;-14.21;-58.86;278.6;2.321282e-06;178344.0;yes;yes;;;10.0;16204,16208,16252;806000000 # Meraní: 3
11.02.2025;08:27:59.344;1741674479;49.027298;21.500428;195.08;56.48;116.75;16;6300;806000000;120;231;1;8041.0;7693581.0;30053.0;13.0;10.0;7;-60.07;6.31;-81.59;-13.49;-54.25;277.6;2.11841e-06;178753.0;yes;yes;;;10.0;16293,16311,16331,16374;806000000 # Meraní: 4
11.02.2025;08:28:04.052;1741674484;49.027048;21.501377;193.11;53.57;101.14;16;6300;806000000;120;231;1;8041.0;7693581.0;30053.0;13.0;10.0;7;-62.76;7.53;-83.50;-12.88;-48.35;277.21;1.98413e-06;179199.0;yes;yes;;;10.0;16410,16415,16460,16502;806000000 # Meraní: 4
11.02.2025;08:28:08.257;1741674488;49.027053;21.502391;191.1;52.52;79.2;16;6300;806000000;120;231;1;8041.0;7693581.0;30053.0;13.0;10.0;7;-67.37;4.90;-86.28;-13.14;-19.36;275.8;1.92e-06;180020.0;yes;yes;;;10.0;16521,16529,16588,16626,16635,16674;806000000 # Meraní: 6
11.02.2025;08:22:59.092;1741674179;49.049694;21.429002;296.08;65.02;145.1;16;6300;806000000;120;231;1;8041.0;7693581.0;30053.0;13.0;10.0;7;-81.12;8.15;-98.43;-13.38;-60.79;482.25;2.072583e-05;148835.0;yes;yes;2.0;;10.0;5956,5993,6001,6049;806000000 # Meraní: 4
11.02.2025;08:24:16.396;1741674256;49.042306;21.445163;255.79;77.98;136.4;16;6300;806000000;120;231;1;8041.0;7693581.0;30053.0;13.0;10.0;7;-68.79;8.10;-89.34;-10.97;-82.79;367.19;1.5899916e-05;156834.0;yes;yes;;;10.0;8009,8030;806000000 # Meraní: 2
11.02.2025;08:24:19.490;1741674259;49.041819;21.445873;255.16;75.96;136.37;16;50;2115000000;120;231;1;21041.0;7693611.0;30053.0;43.0;10.0;7;-66.04;7.47;-86.34;-11.35;-75.66;273.02;1.5760686e-05;157051.0;no;yes;2.0;;10.0;8102,8156;2115000000 # Meraní: 2
11.02.2025;08:24:31.076;1741674271;49.040830;21.448511;249.27;75.78;112.8;16;6300;806000000;120;231;1;8041.0;7693581.0;30053.0;13.0;10.0;7;-76.81;5.62;-97.94;-12.38;-74.33;351.29;1.4974267e-05;158159.0;yes;yes;;;10.0;8465;806000000 # Meraní: 1
11.02.2025;08:24:55.571;1741674295;49.039072;21.455175;241.74;75.06;112.58;16;6300;806000000;120;231;1;8041.0;7693581.0;30053.0;13.0;10.0;7;-72.24;4.25;-89.81;-10.94;-69.69;286.42;1.322277e-05;160592.0;yes;yes;;;10.0;9370,9432;806000000 # Meraní: 2
11.02.2025;08:24:58.413;1741674298;49.038802;21.456115;241.34;71.64;114.43;16;6300;806000000;120;231;1;8041.0;7693581.0;30053.0;13.0;10.0;7;-68.82;13.99;-86.43;-10.9;-69.01;283.08;1.2961008e-05;161035.0;yes;yes;;;10.0;9470,9483,9560;806000000 # Meraní: 3
11.02.2025;08:25:02.112;1741674302;49.038415;21.456947;240.62;68.47;134.02;16;6300;806000000;120;231;1;8041.0;7693581.0;30053.0;13.0;10.0;7;-68.82;11.08;-88.90;-10.9;-69.01;283.08;1.2961008e-05;161035.0;yes;yes;;;10.0;9602,9629,9685;806000000 # Meraní: 3
11.02.2025;08:25:06.517;1741674306;49.037866;21.457540;238.69;67.5;148.09;16;6300;806000000;120;231;1;8041.0;7693581.0;30053.0;13.0;10.0;7;-71.88;7.86;-93.94;-11.31;-65.82;279.82;1.2694739e-05;161481.0;yes;yes;;;10.0;9758,9787,9815,9879;806000000 # Meraní: 4
11.02.2025;08:25:11.338;1741674311;49.037297;21.458090;237.62;62.82;141.66;16;50;2115000000;120;231;1;21041.0;7693611.0;30053.0;43.0;10.0;7;-77.73;10.77;-90.88;-14.45;-63.68;275.93;1.2287481e-05;162075.0;no;yes;2.0;;10.0;9958,10011,10016;2115000000 # Meraní: 3
11.02.2025;08:25:14.610;1741674314;49.036810;21.458797;237.0;61.09;132.82;16;6300;806000000;120;231;1;8041.0;7693581.0;30053.0;13.0;10.0;7;-72.28;6.64;-87.61;-11.96;-59.45;277.34;1.2240715e-05;162284.0;yes;yes;;;10.0;10051,10085,10106,10169,10198;806000000 # Meraní: 5
11.02.2025;08:25:19.131;1741674319;49.036448;21.459659;236.48;59.29;116.82;16;50;2115000000;120;231;1;21041.0;7693611.0;30053.0;43.0;10.0;7;-71.97;8.74;-87.73;-13.65;-59.19;276.91;1.1930708e-05;162887.0;no;yes;2.0;;10.0;10226,10303,10308,10353;2115000000 # Meraní: 4
11.02.2025;08:25:24.412;1741674324;49.036179;21.460599;237.5;61.81;112.55;16;50;2115000000;120;231;1;21041.0;7693611.0;30053.0;43.0;10.0;7;-67.89;9.25;-83.37;-11.23;-58.59;276.45;1.1730176e-05;163287.0;no;yes;2.0;;10.0;10426,10450,10475,10540;2115000000 # Meraní: 4
11.02.2025;08:25:28.391;1741674328;49.035914;21.461542;236.16;64.58;114.08;16;6300;806000000;120;231;1;8041.0;7693581.0;30053.0;13.0;10.0;7;-62.84;13.69;-79.48;-11.54;-55.79;276.25;1.1338926e-05;163905.0;yes;yes;;;10.0;10587,10641,10674,10687;806000000 # Meraní: 4
11.02.2025;08:25:34.020;1741674333;49.035644;21.462482;234.05;67.97;113.39;16;6300;806000000;120;231;1;8041.0;7693581.0;30053.0;13.0;10.0;7;-62.16;15.06;-78.21;-10.95;-59.19;276.12;1.1063441e-05;164325.0;yes;yes;;;10.0;10766,10836;806000000 # Meraní: 2
11.02.2025;08:25:36.117;1741674336;49.035379;21.463426;232.77;71.06;113.03;16;6300;806000000;120;231;1;8041.0;7693581.0;30053.0;13.0;10.0;7;-60.59;11.78;-78.33;-10.7;-58.37;276.13;1.0779231e-05;164806.0;yes;yes;;;10.0;10852,10918;806000000 # Meraní: 2
11.02.2025;08:25:39.469;1741674339;49.035114;21.464369;231.46;74.12;113.12;16;6300;806000000;120;231;1;8041.0;7693581.0;30053.0;13.0;10.0;7;-60.59;13.15;-78.88;-10.7;-58.37;276.13;1.0779231e-05;164806.0;yes;yes;;;10.0;10984,11030,11055,11129;806000000 # Meraní: 4
11.02.2025;08:25:44.597;1741674344;49.034847;21.465311;229.54;75.92;113.05;16;6300;806000000;120;231;1;8041.0;7693581.0;30053.0;13.0;10.0;7;-61.08;14.05;-79.47;-10.88;-60.48;275.46;1.0478355e-05;165248.0;yes;yes;;;10.0;11200,11206;806000000 # Meraní: 2
11.02.2025;08:25:46.286;1741674346;49.034583;21.466255;228.93;79.42;113.1;16;6300;806000000;120;231;1;8041.0;7693581.0;30053.0;13.0;10.0;7;-62.38;15.82;-79.74;-10.77;-63.52;276.95;1.0162031e-05;165696.0;yes;yes;;;10.0;11271,11355,11385;806000000 # Meraní: 3
11.02.2025;08:25:50.096;1741674350;49.034319;21.467198;227.38;85.93;113.02;16;6300;806000000;120;231;1;8041.0;7693581.0;30053.0;13.0;10.0;7;-61.82;18.47;-79.48;-10.89;-67.19;279.12;9.781521e-06;166173.0;yes;yes;;;10.0;11395,11491;806000000 # Meraní: 2
11.02.2025;08:25:53.585;1741674353;49.034052;21.468140;225.57;89.24;113.1;16;1275;1812500000;120;231;1;18041.0;7693601.0;30053.0;33.0;15.0;7;-61.96;11.80;-78.96;-11.1;-68.9;279.07;9.785088e-06;166185.0;no;yes;2.0;;15.0;11530,11571,11596;1812500000 # Meraní: 3
11.02.2025;08:25:56.066;1741674356;49.033785;21.469082;223.77;88.96;113.48;16;50;2115000000;120;231;1;21041.0;7693611.0;30053.0;43.0;10.0;7;-61.22;13.72;-79.40;-10.82;-73.96;280.47;9.294873e-06;166800.0;no;yes;2.0;;10.0;11663,11665,11736;2115000000 # Meraní: 3
11.02.2025;08:26:00.086;1741674360;49.033517;21.470024;222.31;90.43;113.39;16;1275;1812500000;120;231;1;18041.0;7693601.0;30053.0;33.0;15.0;7;-71.49;13.33;-90.21;-11.75;-75.57;283.45;9.058845e-06;167063.0;no;yes;2.0;;15.0;11840;1812500000 # Meraní: 1
11.02.2025;08:26:02.677;1741674362;49.033250;21.470965;221.93;89.24;113.31;16;6300;806000000;120;231;1;8041.0;7693581.0;30053.0;13.0;10.0;7;-73.71;8.79;-94.61;-12.03;-74.23;282.16;8.984064e-06;167054.0;yes;yes;;;10.0;11955,11969,12058;806000000 # Meraní: 3
11.02.2025;08:26:11.352;1741674371;49.032508;21.473826;221.42;81.61;108.57;16;1275;1812500000;120;231;1;18041.0;7693601.0;30053.0;33.0;15.0;7;-63.95;13.73;-82.66;-11.58;-76.71;283.9;8.072634e-06;168329.0;no;yes;2.0;;15.0;12381,12402,12498;1812500000 # Meraní: 3
11.02.2025;08:26:15.190;1741674375;49.032266;21.474783;220.16;82.58;114.65;16;6300;806000000;120;231;1;8041.0;7693581.0;30053.0;13.0;10.0;7;-67.69;14.72;-85.32;-12.17;-74.55;283.93;7.998315e-06;168359.0;yes;yes;;;10.0;12553,12581,12598;806000000 # Meraní: 3
11.02.2025;08:26:18.518;1741674378;49.031918;21.475659;218.94;85.64;125.55;16;6300;806000000;120;231;1;8041.0;7693581.0;30053.0;13.0;10.0;7;-67.18;15.11;-86.36;-10.92;-78.68;283.72;7.715094e-06;168784.0;yes;yes;;;10.0;12711,12809,12818;806000000 # Meraní: 3
11.02.2025;08:26:21.174;1741674381;49.031491;21.476454;217.49;86.18;130.23;16;1275;1812500000;120;231;1;18041.0;7693601.0;30053.0;33.0;15.0;7;-67.56;12.15;-85.53;-10.83;-81.05;283.72;7.331421e-06;169279.0;no;yes;2.0;;15.0;12841,12934;1812500000 # Meraní: 2
11.02.2025;08:26:25.258;1741674385;49.031051;21.477230;216.28;84.78;130.41;16;50;2115000000;120;231;1;21041.0;7693611.0;30053.0;43.0;10.0;7;-72.36;12.05;-90.27;-10.78;-79.86;283.57;7.139007e-06;169502.0;no;yes;2.0;;10.0;12998;2115000000 # Meraní: 1
11.02.2025;08:26:28.158;1741674388;49.030639;21.478042;215.52;83.7;123.72;16;6300;806000000;120;231;1;8041.0;7693581.0;30053.0;13.0;10.0;7;-76.27;7.53;-97.76;-11.79;-63.64;283.39;6.926178e-06;169792.0;yes;yes;;;10.0;13151,13223,13231;806000000 # Meraní: 3
11.02.2025;08:26:31.558;1741674391;49.030291;21.478919;214.34;82.08;116.75;16;6300;806000000;120;231;1;8041.0;7693581.0;30053.0;13.0;10.0;7;-79.18;8.09;-100.19;-12.23;-54.22;283.25;6.704596e-06;170197.0;yes;yes;;;10.0;13317,13390;806000000 # Meraní: 2
11.02.2025;08:26:47.479;1741674407;49.030085;21.483986;209.0;85.1;87.27;16;6300;806000000;120;231;1;8041.0;7693581.0;30053.0;13.0;10.0;7;-78.05;4.42;-97.77;-15.59;-36.25;285.81;6.086902e-06;171534.0;yes;yes;;;10.0;14044,14052,14126;806000000 # Meraní: 3
11.02.2025;08:26:51.469;1741674411;49.030114;21.485011;207.06;86.8;87.52;16;6300;806000000;120;231;1;8041.0;7693581.0;30053.0;13.0;10.0;7;-77.23;-1.67;-98.66;-13.18;-40.22;285.01;5.371488e-06;171971.0;yes;yes;;;10.0;14210,14237,14271;806000000 # Meraní: 3
